Setting TVC to zero positions...
Beginning Tare...
Continuing with final countdown...
T-10
T-9
T-8
T-7
T-6
T-5
T-4
T-3
T-2
T-1
Ignition
Force in Newtons: 
0.0025581750 -0.0004490727 -0.0029996177 
0.0017634022 -0.0001746394 -0.0027496495 
0.0012915058 0.0001247424 -0.0023247036 
0.0024836652 0.0011725788 -0.0018997579 
0.0029555616 0.0016715484 -0.0006499172 
0.0038496809 0.0014719605 -0.0003499554 
0.0063581829 0.0072600088 0.0044994263 
0.0051411867 0.0027193846 0.0091738309 
0.0024339916 0.0014969091 0.0104736649 
0.0031542544 0.0063119673 0.0085489101 
-0.0000745100 0.0084575357 0.0106986379 
-0.0015150356 0.0074346485 0.0091988277 
-0.0015895457 0.0079585671 0.0087988786 
-0.0004718964 0.0066861939 0.0139482235 
0.0035019679 0.0078088760 0.0096237735 
0.0008941194 0.0106280553 0.0096987638 
-0.0026575212 0.0081581544 0.0075740346 
-0.0017385655 0.0058878421 0.0057992606 
-0.0016888923 0.0041913456 0.0074490509 
-0.0007202630 0.0042911396 0.0079489874 
-0.0005215697 0.0044408297 0.0083739328 
0.0071529555 0.0093806304 0.0804147529 
0.0843701076 0.0889912509 0.8317190170 
0.8483455657 0.9336471557 2.8105419158 
2.9017408370 3.0672664642 2.8596603393 
3.0864756107 3.1654138565 1.6168190002 
1.7507853507 1.7437992095 1.3421289920 
1.4386134147 1.4243838787 1.2383671998 
1.3305243253 1.2983940887 1.2571647167 
1.3055137395 1.3078246116 1.2672635316 
1.2867621231 1.3386108875 1.2196946144 
1.2658743858 1.2911589145 1.1551027297 
1.1984678459 1.2206795215 1.1711007356 
1.1776050329 1.2146419286 1.2080460786 
1.2099919319 1.2350747585 1.1680011749 
1.2061920166 1.2091532945 1.1034343242 
1.1507316827 1.1776432991 1.0839368057 
1.1448454856 1.1490025520 1.0978600978 
1.1620820760 1.1538923978 1.0850617885 
1.1652860641 1.1203117370 1.0260941982 
1.1602938175 1.0821654796 1.0141457319 
1.1456650495 1.0929931449 1.0382177829 
1.1754442453 1.1154717206 0.8803878784 
1.1735565662 0.9883841514 0.2634664058 
0.7988460063 0.3962068748 -0.0246468591 
0.1465362453 0.0017713425 -0.0366453289 
-0.0024091553 -0.0310359191 -0.0387200641 
-0.0056379199 -0.0312355041 -0.0432194900 
-0.0083451156 -0.0344289088 -0.0473189687 
-0.0135359752 -0.0400922155 -0.0491937351 
-0.0173111462 -0.0434602642 -0.0493437099 
-0.0175098409 -0.0452316045 -0.0488187789 
-0.0208627867 -0.0442835617 -0.0482438516 
-0.0212850117 -0.0437845897 -0.0493187141 
-0.0213346838 -0.0437346935 -0.0495686817 
-0.0202170348 -0.0437097454 -0.0500686216 
-0.0192235698 -0.0432107734 -0.0499436378 
-0.0196457920 -0.0435600566 -0.0496186780 
-0.0211111545 -0.0445579957 -0.0492687225 
-0.0192484045 -0.0437845897 -0.0482938480 
-0.0189255294 -0.0449571657 -0.0483938312 
-0.0179320631 -0.0433854150 -0.0479688882 
-0.0178327140 -0.0418885040 -0.0481438684 
-0.0187516708 -0.0424124288 -0.0484688234 
-0.0138340163 -0.0415641736 -0.0512434720 
-0.0154483976 -0.0405412912 -0.0493687105 
-0.0185529804 -0.0426369619 -0.0489437627 
-0.0191738967 -0.0435101556 -0.0505185651 
-0.0157216014 -0.0422876834 -0.0514434432 
-0.0128653860 -0.0431858253 -0.0518183946 
-0.0170131063 -0.0514437723 -0.0498186492 
-0.0210863184 -0.0465289211 -0.0495436859 
-0.0204902386 -0.0455808782 -0.0497936582 
-0.0206392574 -0.0464540767 -0.0493437099 
-0.0201921963 -0.0487493419 -0.0497436618 
-0.0219059276 -0.0466536617 -0.0499186372 
-0.0213595199 -0.0475518131 -0.0497436618 
-0.0204157304 -0.0479260396 -0.0488687753 
-0.0219556021 -0.0477513980 -0.0483188390 
-0.0199935054 -0.0476516056 -0.0478439044 
-0.0197948093 -0.0472025299 -0.0480688762 
-0.0218810892 -0.0474520206 -0.0486188030 
-0.0222784757 -0.0470029449 -0.0486937952 
-0.0210614800 -0.0469779968 -0.0474439525 
-0.0203163814 -0.0463792371 -0.0468440341 
-0.0186771621 -0.0461297464 -0.0482188606 
-0.0200680136 -0.0459800624 -0.0487687873 
-0.0208627867 -0.0455559301 -0.0468690252 
-0.0197948093 -0.0466536617 -0.0477189159 
-0.0207137680 -0.0452066516 -0.0493687105 
-0.0224771714 -0.0451817083 -0.0518683910 
-0.0231229233 -0.0455559301 -0.0521933507 
-0.0231229233 -0.0458054208 -0.0514434432 
-0.0208379507 -0.0441837692 0.1556801557 
0.0769936180 0.0417637634 1.0575902462 
1.0129132270 1.0389547348 0.2307205915 
0.4961121082 0.7624008178 -0.1887009429 
-0.1718944787 0.1298069715 -0.1908256912 
-0.1910186958 0.1140894293 -0.1897008323 
-0.1919376564 0.1129168391 -0.1892258834 
