Setting TVC to zero positions...
Beginning Tare...
Continuing with final countdown...
T-10
T-9
T-8
T-7
T-6
T-5
T-4
T-3
T-2
T-1
Ignition
Force in Newtons: 
0.0015518964 -0.0028372230 -0.0010749176 
0.0006650984 -0.0030631966 -0.0018998546 
0.0000985331 -0.0048458766 -0.0018248604 
0.0011577639 -0.0046701192 -0.0016498737 
0.0032023258 -0.0053982563 -0.0016748719 
0.0024879610 -0.0019333291 -0.0007499426 
-0.0008867980 -0.0054484724 -0.0013498966 
-0.0024633276 -0.0019082210 0.0046746425 
-0.0061829519 -0.0043688211 0.0025248072 
0.0038674247 -0.0127549505 0.0107491779 
-0.0096562442 0.0096415367 -0.0324475193 
0.0234262466 -0.0074571266 0.0106741833 
-0.0168737936 -0.0016571393 -0.0079243936 
0.0124644374 -0.0017826801 0.0082743673 
-0.0103706097 -0.0062770419 0.0010499198 
-0.0005665654 -0.0060259604 0.0169986987 
-0.0151987314 -0.0129055988 0.0173236742 
0.0257910442 0.0093653469 -0.0426967334 
-0.0128585708 -0.0033393864 0.0248730993 
0.0082275152 -0.0077584242 -0.0179736256 
-0.0001724329 0.0050467419 -0.0015748797 
0.0087694463 -0.0132571148 -0.0104242026 
-0.0180561914 -0.0013558411 0.0209483981 
0.0027096605 -0.0053480396 -0.0033497438 
-0.0052468881 -0.0020588698 0.0024998087 
0.0024633276 -0.0044943623 -0.0003749713 
-0.0029806261 -0.0068545303 -0.0001499885 
0.0039905908 -0.0099428358 -0.0042246770 
0.0001231664 -0.0095913200 0.0020748414 
-0.0030791594 -0.0045194702 0.0103992044 
-0.0063553857 -0.0148138189 0.0023998162 
-0.0075870490 0.0067792057 -0.0076494150 
0.0221699476 -0.0058250951 -0.0163737478 
-0.0000246333 0.0042181725 0.0121990668 
0.0070697507 -0.0027367904 -0.0049496216 
0.0123905396 0.0027367904 -0.0170986938 
-0.0110110747 -0.0081350469 0.0079243936 
-0.0027835602 -0.0081601552 0.0070494604 
-0.0031284258 -0.0041930642 0.0033497438 
0.0009853309 -0.0092649154 0.0001249904 
-0.0010592308 -0.0050969591 0.0024248144 
0.0063307523 -0.0098675107 -0.0010249216 
-0.0009114313 -0.0098675107 -0.0029497742 
-0.0005419321 -0.0121021378 0.0014248909 
-0.0051237220 -0.0061263933 0.0021748335 
-0.0012809305 -0.0076077752 0.0001749866 
-0.0010345976 -0.0054484724 -0.0020498433 
-0.0023894276 -0.0068294219 -0.0028497819 
0.0015518964 -0.0121272468 -0.0013748948 
0.0009360646 -0.0098926191 -0.0001749866 
0.0023647947 -0.0077333164 -0.0001499885 
0.0018721289 -0.0081350469 0.0004999618 
0.0021677284 -0.0091895904 0.0000499962 
0.0002709661 -0.0110475945 -0.0010999159 
0.0009606978 -0.0086121025 -0.0006749484 
0.0029313600 0.0339462471 0.0008999311 
0.0603268909 0.0562422990 0.0269479393 
0.0726681661 0.0141861152 0.0086493387 
0.0309640288 0.0387419033 0.0271979212 
0.0429358005 0.0388423395 0.0245731186 
0.0559914350 0.0459981727 0.0370471668 
0.0795654773 0.0387419033 0.0498461866 
0.0983360385 0.0548613548 0.1083667163 
0.1137071967 0.1044248819 0.1588128566 
0.1552389144 0.2215544939 0.2615300178 
0.2438694477 0.4196579456 0.2753789424 
0.6453179359 0.6125891208 0.4810132026 
0.8157063484 0.9376143455 0.7077458381 
1.1558426618 1.3195096254 1.0667684078 
1.5498025417 1.7534039020 1.4110171794 
1.9809835433 2.1578965187 1.7516909599 
2.4570217132 2.5709762573 2.0751662254 
2.7675976753 2.9850599288 2.4065158367 
3.1628880500 3.4605083465 2.7442400455 
3.5934531688 3.9339480400 3.0963132381 
4.0063314437 4.3847403526 3.4502611160 
4.4577856063 4.7828550338 3.7752861976 
4.8617711067 4.9855031967 3.9714713096 
5.1065025329 4.8047494888 3.9105007171 
5.0170345306 4.2787585258 3.4937577247 
4.6276564598 3.4927222728 2.9321007728 
3.9992864608 2.5510904788 2.1941320896 
2.4273138046 2.1432836055 1.8087615966 
2.1686890125 1.9147491455 1.6313002109 
1.9810819625 1.7982470989 1.5330576896 
1.9350177764 1.7248307228 1.4409147262 
1.8025399208 1.5831705093 1.5651803016 
1.6749889850 1.5622805595 1.5803291797 
1.7006814479 1.6119947433 1.2767523527 
1.7693343162 1.5095031261 1.2696279287 
1.6387781143 1.4849976539 1.2985507202 
1.6128145217 1.4170297622 1.2463047504 
1.5693120956 1.3512713909 1.3877688598 
1.4841055870 1.3413788080 1.2924261093 
1.5784264564 1.2697452306 1.1991082382 
1.5753227233 1.2377322912 1.2997255325 
1.5889202117 1.2739384174 1.2083826065 
1.6432611942 1.2383600473 1.1500121355 
1.6333093643 1.1597464084 1.2399301528 
1.5476594924 1.1385300159 1.2678029537 
1.5586213111 1.1432753801 1.2343556880 
1.5665779113 1.1245697736 1.2207816839 
1.5419445037 1.1153551340 1.2209066152 
1.5427820682 1.1003655195 1.2240563631 
1.5049207210 1.0472115278 1.2033829689 
1.4999447822 0.9845666885 1.1641860008 
1.5311058998 1.0678755044 1.1561115980 
1.4889830589 1.0104782581 1.1926587867 
1.5119166374 0.9782644271 1.1728353500 
1.5115962982 0.9638022422 1.1898590278 
1.5192080497 0.8346458435 1.2581287622 
1.4494466781 0.8458189010 1.4065924644 
1.3718025684 1.0104030370 1.2119822502 
1.5522413253 0.8653279304 1.0413453578 
1.4094915390 0.8615365982 1.3260235786 
1.4368344306 0.8672864913 1.2720026969 
1.4414161682 0.8649011611 1.2950009155 
1.4371299743 0.8602811813 1.2970758628 
1.4676999092 0.8153627395 1.2714527845 
1.4828001022 0.8197315216 1.2756023406 
1.4075454711 0.8325116157 1.2814019966 
1.4382630348 0.8156138420 1.3017004728 
1.4051066398 0.9122049331 1.2834769439 
1.3189641237 0.8803928375 1.2996755790 
1.3546085357 0.9875042915 1.2912013530 
1.2448918819 0.9798965454 1.3067750930 
1.2435370683 1.1064919233 1.3014005422 
1.1083003282 1.1456104516 1.3130996227 
1.1203953027 1.2062467336 1.2624534368 
1.0179947614 1.2307271957 1.2723027467 
0.9954060554 1.2179721593 1.2510793209 
0.9392668724 1.2304509878 1.2431299686 
0.8982031822 1.2459928989 1.2300308942 
0.9289454460 1.2360249757 1.2232065200 
0.9009374618 1.2187004089 1.2063827514 
0.8848026275 1.2162648439 1.2093825340 
0.8833985328 1.2251782417 1.2057827711 
0.8888424873 1.2365773916 1.2115073204 
0.9018734931 1.2499349117 1.2229814529 
0.9202992439 1.2615097761 1.2244813442 
0.9384292602 1.2737374305 1.2340055704 
0.9508937835 1.2937988090 1.2362054586 
0.9528890609 1.3501917123 1.1777598857 
1.0049391984 1.4548677444 1.0186221599 
1.1014769077 1.4341283798 1.0254966020 
1.0964764404 1.3794929981 1.1539866924 
1.0291043519 1.4057060241 1.1150397062 
1.1048762798 1.4367145538 0.9522771835 
1.1378602981 1.4561985969 0.8982063293 
1.1487236022 1.4776157379 0.9014560699 
1.1594144105 1.4997611999 0.8576093673 
1.1836289215 1.5210780143 0.8365610122 
1.1832101345 1.4995101928 0.8135877609 
1.1859936714 1.4941369056 0.7859898567 
1.1883091926 1.4822106361 0.7640665054 
1.1756724119 1.4714140892 0.7523424625 
1.1662378311 1.4765361785 0.7580670833 
1.1695387363 1.4725438117 0.7578670501 
1.1844664764 1.4626764297 0.7581920146 
1.1882846355 1.4701837539 0.7653164386 
1.1909204673 1.4849976539 0.7743658065 
